"i","bird","event_type","ext_g","int_g","site","datetime"
74,"bravo","entry",-0.5,0.5,"NNBB12",2019-11-25 16:43:36
140,"bravo","exit",0.5,-0.5,"NNBB12",2019-11-25 19:29:42
454,"charlie","exit",0.0454545454545455,-0.0454545454545455,"NNBB12",2019-11-26 13:57:42
641,"charlie","entry",-0.04,0.04,"NNBB12",2019-11-26 20:09:43
819,"charlie","entry",-0.0153846153846154,0.0153846153846154,"NNBB12",2019-11-27 10:08:15
1060,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-27 17:47:46
1099,"charlie","exit",0.04,-0.04,"NNBB12",2019-11-27 19:00:47
1114,"charlie","entry",-0.0476190476190476,0.0476190476190476,"NNBB12",2019-11-27 19:45:06
1129,"charlie","entry",-0.111111111111111,0.111111111111111,"NNBB12",2019-11-27 20:15:27
1179,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 06:47:29
1186,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-28 07:01:41
1394,"charlie","exit",0.0163934426229508,-0.0163934426229508,"NNBB12",2019-11-28 13:12:57
1418,"charlie","exit",0.027027027027027,-0.027027027027027,"NNBB12",2019-11-28 13:58:08
1480,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:07:56
1482,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:11:37
1539,"charlie","entry",-0.0769230769230769,0.0769230769230769,"NNBB12",2019-11-28 18:31:28
1565,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-28 19:25:38
1745,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-29 10:09:14
2058,"charlie","exit",0.0588235294117647,-0.0588235294117647,"NNBB12",2019-11-30 07:54:49
2152,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-30 11:05:29
2503,"charlie","entry",-0.04,0.04,"NNBB12",2019-11-26 20:09:43
2681,"charlie","entry",-0.0153846153846154,0.0153846153846154,"NNBB12",2019-11-27 10:08:15
2922,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-27 17:47:46
2961,"charlie","exit",0.04,-0.04,"NNBB12",2019-11-27 19:00:47
2976,"charlie","entry",-0.0476190476190476,0.0476190476190476,"NNBB12",2019-11-27 19:45:06
2991,"charlie","entry",-0.111111111111111,0.111111111111111,"NNBB12",2019-11-27 20:15:27
3041,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 06:47:29
3048,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-28 07:01:41
3256,"charlie","exit",0.0163934426229508,-0.0163934426229508,"NNBB12",2019-11-28 13:12:57
3280,"charlie","exit",0.027027027027027,-0.027027027027027,"NNBB12",2019-11-28 13:58:08
3342,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:07:56
3344,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:11:37
3401,"charlie","entry",-0.0769230769230769,0.0769230769230769,"NNBB12",2019-11-28 18:31:28
3427,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-28 19:25:38
3607,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-29 10:09:14
3920,"charlie","exit",0.0588235294117647,-0.0588235294117647,"NNBB12",2019-11-30 07:54:49
4014,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-30 11:05:29
4525,"charlie","entry",-0.0625,0.0625,"NNBB12",2019-12-02 15:27:39
4658,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-02 17:50:07
4952,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-03 09:00:15
4960,"charlie","entry",-0.1,0.1,"NNBB12",2019-12-03 09:07:45
5175,"charlie","entry",-0.125,0.125,"NNBB12",2019-12-03 13:43:18
